datetime,open,close,high,low,volume,money,open_interest
2021-03-16,978.551,998.218,1011.217,974.349,562318.0,57298249900.0,754212.0
2021-03-17,993.134,992.392,1000.295,972.624,426397.0,42876929700.0,746655.0
2021-03-18,986.266,1003.683,1014.084,978.967,461639.0,47078003150.0,773603.0
2021-03-19,996.523,952.773,1006.872,947.08,670179.0,67503219450.0,794668.0
2021-03-22,945.803,921.054,962.608,907.177,674384.0,64632920600.0,785592.0
2021-03-23,920.381,942.528,943.262,917.065,468991.0,45386461150.0,781652.0
2021-03-24,940.252,952.185,954.982,924.488,517008.0,50476933150.0,784973.0
2021-03-25,956.336,969.21,981.009,951.973,461980.0,45956970050.0,774485.0
2021-03-26,961.492,991.249,994.64,950.843,482263.0,48156314250.0,782442.0
2021-03-29,989.361,1029.209,1045.95,984.557,611995.0,63316153300.0,801582.0
2021-03-30,1018.221,1012.73,1026.38,991.125,551654.0,56627294850.0,771524.0
2021-03-31,1006.953,978.736,1016.82,968.264,556931.0,55747850300.0,775728.0
2021-04-01,965.355,1009.1,1020.647,960.523,508030.0,50875009600.0,799719.0
2021-04-02,1005.736,1009.766,1022.135,989.123,481450.0,48156730800.0,804985.0
2021-04-06,1007.125,995.855,1022.352,988.05,374919.0,37398686300.0,806380.0
2021-04-07,994.914,1013.253,1019.973,991.298,537754.0,53761709000.0,850977.0
2021-04-08,1010.21,1000.751,1012.709,990.046,422959.0,42005002050.0,818391.0
2021-04-09,1002.305,995.115,1015.291,989.432,455208.0,45425746600.0,838225.0
2021-04-12,992.677,1020.653,1025.719,978.565,642934.0,64111191150.0,857515.0
2021-04-13,1017.844,1024.44,1027.452,1010.032,365794.0,37205222500.0,843650.0
2021-04-14,1019.259,1010.806,1023.587,1003.097,313234.0,31749702500.0,830099.0
2021-04-15,1009.395,1040.565,1046.212,1005.843,497587.0,51790151750.0,870041.0
2021-04-16,1036.572,1040.816,1053.548,1031.22,388202.0,40623412700.0,832440.0
2021-04-19,1036.255,1051.764,1071.608,1031.312,387376.0,41075230400.0,846009.0
2021-04-20,1056.051,1086.142,1095.786,1051.25,415372.0,45041079650.0,858308.0
2021-04-21,1081.499,1084.684,1092.825,1069.928,339912.0,37194805700.0,839336.0
2021-04-22,1073.063,1073.324,1089.143,1058.918,425476.0,46247684250.0,844400.0
2021-04-23,1073.079,1084.306,1091.531,1065.048,406703.0,44390357000.0,847279.0
2021-04-26,1075.529,1121.918,1142.01,1074.384,546069.0,61718922300.0,843232.0
2021-04-27,1121.427,1136.528,1138.856,1116.3,300948.0,34145971450.0,822892.0
2021-04-28,1135.737,1110.074,1138.249,1091.927,420702.0,47304591650.0,818591.0
2021-04-29,1097.623,1097.956,1120.069,1082.549,461150.0,51775197950.0,814828.0
2021-04-30,1104.993,1059.12,1108.245,1054.07,488744.0,53823663550.0,795024.0
2021-05-06,1083.235,1145.512,1147.264,1083.225,471083.0,53524823850.0,794153.0
2021-05-07,1147.906,1192.58,1195.981,1140.252,496163.0,58872696650.0,798051.0
2021-05-10,1193.859,1284.811,1284.819,1176.712,569509.0,72346648150.0,744323.0
2021-05-11,1291.103,1263.964,1300.414,1224.078,532983.0,68434983550.0,722250.0
2021-05-12,1259.942,1292.287,1312.582,1239.898,499577.0,64857656500.0,746594.0
2021-05-13,1274.16,1166.319,1283.376,1146.81,719426.0,89803572100.0,741191.0
2021-05-14,1160.116,1123.694,1177.316,1098.292,668977.0,78420741000.0,736146.0
2021-05-17,1131.746,1144.691,1160.415,1109.716,549583.0,64421102050.0,770839.0
2021-05-18,1151.465,1183.67,1199.501,1146.831,482399.0,58545438700.0,780736.0
2021-05-19,1181.341,1133.397,1190.935,1121.246,541367.0,64605865850.0,795973.0
2021-05-20,1095.342,1084.538,1112.483,1048.072,698138.0,78165453500.0,802185.0
2021-05-21,1087.974,1039.742,1094.611,1037.232,538760.0,59487658300.0,811009.0
2021-05-24,1030.963,1007.434,1040.885,963.316,733018.0,76185508050.0,853694.0
2021-05-25,1002.433,1001.307,1021.185,987.083,471139.0,48912715850.0,832381.0
2021-05-26,997.688,938.615,1007.858,936.91,598017.0,60895435850.0,888588.0
2021-05-27,937.176,988.049,996.628,931.536,550010.0,55240269850.0,875897.0
2021-05-28,987.927,1003.782,1013.894,968.513,535029.0,55027271400.0,862120.0
